Date,Open,High,Low,Close,Adj Close,Volume
2009-03-23,1.362825,1.372891,1.321807,1.327616,1.327616,0
2009-03-30,1.326401,1.355197,1.312405,1.353198,1.353198,0
2009-04-06,1.352704,1.357792,1.310170,1.318166,1.318166,0
2009-04-13,1.318131,1.339208,1.254595,1.304461,1.304461,0
2009-04-20,1.304819,1.329893,1.290090,1.322594,1.322594,0
2009-04-27,1.322506,1.338204,1.297236,1.327598,1.327598,0
2009-05-04,1.328286,1.366792,1.321493,1.362101,1.362101,0
2009-05-11,1.362398,1.372100,1.345497,1.347763,1.347763,0
2009-05-18,1.348127,1.405007,1.342805,1.402603,1.402603,0
2009-05-25,1.402426,1.416993,1.379596,1.412090,1.412090,0
2009-06-01,1.411891,1.433692,1.392990,1.393806,1.393806,0
2009-06-08,1.393981,1.417495,1.381082,1.398504,1.398504,0
2009-06-15,1.398562,1.400207,1.375194,1.394175,1.394175,0
2009-06-22,1.393825,1.413807,1.383011,1.406391,1.406391,0
2009-06-29,1.406213,1.419991,1.393553,1.395907,1.395907,0
2009-07-06,1.395790,1.406865,1.383509,1.396999,1.396999,0
2009-07-13,1.396902,1.416110,1.390337,1.413707,1.413707,0
2009-07-20,1.422698,1.422900,1.416110,1.419608,1.419608,0
2009-07-27,1.424258,1.430902,1.401247,1.429041,1.429041,0
2009-08-03,1.441795,1.442231,1.416993,1.419104,1.419104,0
2009-08-10,1.413767,1.428714,1.412769,1.417294,1.417294,0
2009-08-17,1.408193,1.434700,1.408193,1.434000,1.434000,0
2009-08-24,1.429307,1.437690,1.423609,1.430492,1.430492,0
2009-08-31,1.433795,1.434432,1.420313,1.432193,1.432193,0
2009-09-07,1.433692,1.459407,1.433199,1.457853,1.457853,0
2009-09-14,1.463679,1.474404,1.462566,1.470610,1.470610,0
2009-09-21,1.468493,1.483746,1.462801,1.471194,1.471194,0
2009-09-28,1.462844,1.465695,1.451379,1.460003,1.460003,0
2009-10-05,1.464987,1.478393,1.464987,1.472797,1.472797,0
2009-10-12,1.478350,1.495797,1.478350,1.489403,1.489403,0
2009-10-19,1.496401,1.504393,1.492448,1.499408,1.499408,0
2009-10-26,1.499498,1.505911,1.468709,1.470805,1.470805,0
2009-11-02,1.471194,1.491602,1.462908,1.486679,1.486679,0
2009-11-09,1.486304,1.504800,1.482580,1.494925,1.494925,0
2009-11-16,1.496200,1.501547,1.480692,1.487011,1.487011,0
2009-11-23,1.487210,1.514532,1.483393,1.500353,1.500353,0
2009-11-30,1.500082,1.513775,1.482404,1.486503,1.486503,0
2009-12-07,1.487475,1.490402,1.459108,1.462288,1.462288,0
2009-12-14,1.462801,1.468493,1.426472,1.433199,1.433199,0
2009-12-21,1.433404,1.443793,1.422192,1.437690,1.437690,0
2009-12-28,1.437484,1.445609,1.427796,1.432008,1.432008,0
2010-01-04,1.431004,1.448310,1.426208,1.447011,1.447011,0
2010-01-11,1.446487,1.457705,1.434103,1.436906,1.436906,0
2010-01-18,1.437236,1.441400,1.403095,1.415388,1.415388,0
2010-01-25,1.415408,1.419426,1.385406,1.387694,1.387694,0
2010-02-01,1.387598,1.402406,1.358806,1.363996,1.363996,0
2010-02-08,1.364498,1.383949,1.353308,1.362416,1.362416,0
2010-02-15,1.362806,1.378873,1.345026,1.362806,1.362806,0
2010-02-22,1.362899,1.369263,1.345207,1.363791,1.363791,0
2010-03-01,1.364294,1.373400,1.344520,1.363587,1.363587,0
2010-03-08,1.364107,1.379405,1.353858,1.377467,1.377467,0
2010-03-15,1.377391,1.381654,1.350494,1.351406,1.351406,0
2010-03-22,1.351406,1.356907,1.326999,1.345026,1.345026,0
2010-03-29,1.344809,1.359194,1.338796,1.349619,1.349619,0
2010-04-05,1.349692,1.366475,1.328568,1.362583,1.362583,0
2010-04-12,1.363698,1.368794,1.347001,1.348672,1.348672,0
2010-04-19,1.348909,1.352192,1.320917,1.335934,1.335934,0
2010-04-26,1.336398,1.341400,1.311906,1.332303,1.332303,0
